dimension_id,dimension,fine_id,fine_category,fine_label_en,fine_label_zh,fine_semantic_type,fine_label_confidence
443,D443,44,F044,road_and_buildings,道路与建筑,object,0.85
444,D444,43,F043,tree_shadows,树影斑驳,geometry,0.98
445,D445,56,F056,stone_wall_street,石墙街景,geometry,0.98
446,D446,63,F063,blue_wall_graffiti,蓝墙涂鸦,object,0.98
447,D447,42,F042,Red-yellow glow street,红黄光晕街,geometry,0.9
448,D448,37,F037,street_corner_shops,街角商铺,object,0.98
449,D449,9,F009,highlighted road,高亮道路,geometry,0.85
450,D450,21,F021,road_and_building,道路与建筑,spatial_layout,0.85
451,D451,8,F008,stone_wall_and_retaining_wall,石墙与护坡,geometry,0.9
452,D452,22,F022,tree_canopy_and_road,树冠与道路,geometry,0.98
453,D453,28,F028,red_car_street,红车街景,object,0.95
454,D454,23,F023,street_corner_cafe,街角咖啡座,object,0.98
455,D455,54,F054,highlighted_lane,高亮车道,geometry,0.92
456,D456,4,F004,highlighted_buildings,高亮建筑,object,0.98
457,D457,2,F002,shaded patches,树荫斑驳,geometry,0.98
458,D458,28,F028,red_car_street,红车街景,object,0.95
459,D459,6,F006,small alley entrance,小巷口,geometry,0.98
460,D460,6,F006,small alley entrance,小巷口,geometry,0.98
461,D461,60,F060,street_corner_shop,街角店铺,object,0.98
462,D462,54,F054,highlighted_lane,高亮车道,geometry,0.92
463,D463,49,F049,red_wall_yellow_wall,红墙黄墙,material,0.95
464,D464,0,F000,red brick corner,红砖街角,geometry,0.98
465,D465,12,F012,bamboo,竹林,geometry,0.98
466,D466,20,F020,advertising_wall,广告墙,object,0.95
467,D467,38,F038,red-yellow hotspot,红黄热区,color_light,0.85
468,D468,38,F038,red-yellow hotspot,红黄热区,color_light,0.85
469,D469,6,F006,small alley entrance,小巷口,geometry,0.98
470,D470,50,F050,greenery_and_water,绿植与水体,material,0.85
471,D471,13,F013,tree-lined_driveway,绿树行道,spatial_layout,0.98
472,D472,49,F049,red_wall_yellow_wall,红墙黄墙,material,0.95
473,D473,32,F032,tree-lined walk,绿树行道,geometry,0.92
474,D474,40,F040,cobblestone,石板路,geometry,0.98
475,D475,24,F024,road_edge,道路边缘,geometry,0.98
476,D476,8,F008,stone_wall_and_retaining_wall,石墙与护坡,geometry,0.9
477,D477,13,F013,tree-lined_driveway,绿树行道,spatial_layout,0.98
478,D478,40,F040,cobblestone,石板路,geometry,0.98
479,D479,8,F008,stone_wall_and_retaining_wall,石墙与护坡,geometry,0.9
480,D480,40,F040,cobblestone,石板路,geometry,0.98
481,D481,37,F037,street_corner_shops,街角商铺,object,0.98
482,D482,42,F042,Red-yellow glow street,红黄光晕街,geometry,0.9
483,D483,4,F004,highlighted_buildings,高亮建筑,object,0.98
484,D484,39,F039,red car corner,红车街角,geometry,0.98
485,D485,48,F048,shaded path,树荫小径,geometry,0.98
486,D486,45,F045,underpass glow,高架桥下光带,geometry,0.98
487,D487,7,F007,roof_and_eaves,屋顶与屋檐,geometry,0.98
488,D488,62,F062,shaded alley,树荫小径,geometry,0.98
489,D489,26,F026,tree_shadows,树影斑驳,geometry,0.9
490,D490,58,F058,shaded alley,树荫小径,geometry,0.98
491,D491,40,F040,cobblestone,石板路,geometry,0.98
492,D492,26,F026,tree_shadows,树影斑驳,geometry,0.9
493,D493,37,F037,street_corner_shops,街角商铺,object,0.98
494,D494,40,F040,cobblestone,石板路,geometry,0.98
495,D495,25,F025,shaded alley,树荫小路,geometry,0.98
496,D496,15,F015,tree_shade_street,树荫道,geometry,0.98
497,D497,35,F035,small alley entrance,小巷口,geometry,0.95
498,D498,43,F043,tree_shadows,树影斑驳,geometry,0.98
499,D499,40,F040,cobblestone,石板路,geometry,0.98
500,D500,42,F042,Red-yellow glow street,红黄光晕街,geometry,0.9
501,D501,37,F037,street_corner_shops,街角商铺,object,0.98
502,D502,23,F023,street_corner_cafe,街角咖啡座,object,0.98
503,D503,28,F028,red_car_street,红车街景,object,0.95
504,D504,54,F054,highlighted_lane,高亮车道,geometry,0.92
505,D505,8,F008,stone_wall_and_retaining_wall,石墙与护坡,geometry,0.9
506,D506,40,F040,cobblestone,石板路,geometry,0.98
507,D507,44,F044,road_and_buildings,道路与建筑,object,0.85
508,D508,38,F038,red-yellow hotspot,红黄热区,color_light,0.85
509,D509,19,F019,road_and_building,道路与建筑,object,0.85
510,D510,35,F035,small alley entrance,小巷口,geometry,0.95
511,D511,42,F042,Red-yellow glow street,红黄光晕街,geometry,0.9
